feature,feature_importance_vals
RAE1,8.65E-05
GNB5,8.64E-05
NDUFS2,8.63E-05
LAMA3,8.63E-05
ASL,8.62E-05
CASP1,8.61E-05
KIF22,8.61E-05
CYLD,8.61E-05
CEP72,8.60E-05
TRMT61A,8.60E-05
CTSD,8.59E-05
ERN1,8.59E-05
PDS5A,8.59E-05
KIFAP3,8.58E-05
MAPK10,8.57E-05
CALM3,8.57E-05
PLA2G12A,8.57E-05
RPS6KB1,8.54E-05
IRF7,8.54E-05
MRPS10,8.53E-05
CENPQ,8.53E-05
FADD,8.52E-05
HIST1H2AK,8.51E-05
IRF3,8.51E-05
HIST1H2AH,8.50E-05
POLR3F,8.48E-05
SDHD,8.46E-05
SRPRB,8.46E-05
IMPAD1,8.46E-05
CAPZA1,8.46E-05
SLC22A5,8.44E-05
TYK2,8.42E-05
AK3,8.42E-05
DCP1B,8.42E-05
PMF1,8.40E-05
PTPRK,8.40E-05
XRCC2,8.39E-05
SUMO1,8.39E-05
FCGR2A,8.39E-05
DOCK11,8.38E-05
HMOX2,8.38E-05
ARHGEF6,8.37E-05
IDUA,8.37E-05
IDI1,8.37E-05
STAG1,8.36E-05
PREB,8.36E-05
HAUS8,8.35E-05
KIF20A,8.35E-05
PRKAA2,8.35E-05
TEAD3,8.34E-05
MAD2L1,8.32E-05
PPP2R2A,8.31E-05
PPP2R5D,8.31E-05
GFPT1,8.31E-05
XRCC5,8.30E-05
FOSL2,8.30E-05
PRPF19,8.27E-05
PLCH2,8.26E-05
BIN1,8.26E-05
RPL37,8.26E-05
RAD51C,8.25E-05
FASN,8.25E-05
PANK2,8.25E-05
PPP6C,8.24E-05
KPNA2,8.24E-05
RPL12,8.23E-05
JAK2,8.23E-05
VASP,8.22E-05
DAP3,8.21E-05
DNAJC3,8.21E-05
RPL36,8.19E-05
NAPB,8.19E-05
HIST1H2BH,8.18E-05
CAMK4,8.18E-05
SEL1L,8.18E-05
EXOSC7,8.17E-05
CD3D,8.17E-05
SYK,8.17E-05
RPL35,8.17E-05
LY96,8.16E-05
RAN,8.15E-05
HNRNPK,8.15E-05
TSPYL2,8.14E-05
SMG7,8.14E-05
XAB2,8.14E-05
SPHK1,8.13E-05
BDH1,8.12E-05
GOT2,8.10E-05
HDAC8,8.10E-05
CPEB3,8.10E-05
ITPR1,8.08E-05
MDH2,8.08E-05
ATM,8.07E-05
COL5A1,8.07E-05
PPP1R3C,8.06E-05
HIST1H2AM,8.05E-05
HEXA,8.05E-05
TNKS2,8.04E-05
MTA1,8.04E-05
MRPL11,8.03E-05
PDK2,8.03E-05
MTMR4,8.01E-05
TUBA4A,8.01E-05
EXOSC6,7.99E-05
MRPL9,7.99E-05
RPL18,7.98E-05
MRPL12,7.98E-05
ACLY,7.98E-05
HIST1H3F,7.98E-05
ARF1,7.97E-05
POLR3GL,7.97E-05
TIAM1,7.93E-05
ATP5B,7.92E-05
HMOX1,7.90E-05
PSMC4,7.88E-05
LILRB3,7.88E-05
FADS1,7.88E-05
ACOX2,7.88E-05
EPHA1,7.87E-05
SFTPA2,7.86E-05
SREBF2,7.85E-05
HADHA,7.85E-05
TAF7,7.84E-05
HNRNPUL1,7.84E-05
SLC35B2,7.82E-05
AP2S1,7.82E-05
CAPN2,7.82E-05
RAB1A,7.80E-05
HMGB1,7.80E-05
SSR1,7.80E-05
UQCRC1,7.78E-05
IFNAR1,7.78E-05
MET,7.78E-05
CDKN1A,7.78E-05
SEC23A,7.77E-05
TAB2,7.75E-05
SORBS1,7.75E-05
TNFRSF10A,7.75E-05
CLASP1,7.74E-05
IP6K1,7.73E-05
EIF4B,7.72E-05
MYL6,7.72E-05
CTBP1,7.71E-05
CSNK1E,7.71E-05
NDUFS8,7.71E-05
HCK,7.70E-05
PER2,7.70E-05
NFKBIE,7.69E-05
MAP2K3,7.67E-05
NFKB2,7.67E-05
GNAI1,7.67E-05
CDKN2B,7.64E-05
GATAD2B,7.64E-05
MRPL2,7.64E-05
NDUFA3,7.63E-05
SCIN,7.63E-05
FGD1,7.62E-05
BIRC2,7.61E-05
COL18A1,7.61E-05
RIPK1,7.61E-05
RPL4,7.60E-05
BRIP1,7.59E-05
MRPL3,7.59E-05
MRPS18A,7.58E-05
SP100,7.58E-05
SMG1,7.58E-05
CCNC,7.57E-05
MTA2,7.56E-05
CPT1A,7.55E-05
FGFR1OP,7.54E-05
NDUFA6,7.52E-05
ATP5D,7.52E-05
PFKL,7.52E-05
EEF1G,7.52E-05
MAP2K4,7.51E-05
RRAGB,7.51E-05
MAP2K7,7.50E-05
INPP5B,7.49E-05
H2AFV,7.49E-05
IMPA2,7.49E-05
TRAPPC2,7.49E-05
PLA2G4C,7.48E-05
NDUFB11,7.47E-05
MARCO,7.47E-05
ERCC2,7.46E-05
PPARD,7.46E-05
ATP6AP1,7.44E-05
POLA2,7.44E-05
TPP1,7.43E-05
TREM2,7.42E-05
PHKA2,7.41E-05
WWP1,7.40E-05
CNDP2,7.40E-05
YWHAZ,7.40E-05
SARM1,7.39E-05
ICAM2,7.39E-05
HLA-DPB1,7.37E-05
MRPS25,7.37E-05
WDR4,7.36E-05
L2HGDH,7.34E-05
DAPK1,7.33E-05
CABLES2,7.33E-05
CNOT6,7.33E-05
CXCL16,7.33E-05
PLN,7.32E-05
MITF,7.32E-05
NDUFB8,7.32E-05
TRIP10,7.32E-05
ATP6V1D,7.32E-05
GLB1,7.31E-05
IDH3G,7.31E-05
KCNJ13,7.31E-05
CHST15,7.30E-05
LSS,7.30E-05
CX3CL1,7.29E-05
PER1,7.29E-05
APOE,7.29E-05
CALR,7.29E-05
SMAD7,7.29E-05
URM1,7.27E-05
INPP4A,7.26E-05
GNAS,7.26E-05
NCOR1,7.26E-05
ITGA7,7.24E-05
NUP85,7.22E-05
HDAC7,7.22E-05
EXOSC9,7.22E-05
ACTN1,7.21E-05
SPC25,7.21E-05
CEP250,7.20E-05
RAD54B,7.19E-05
NDUFB1,7.18E-05
FOXO3,7.17E-05
SLC16A10,7.17E-05
ATP5G2,7.16E-05
EGLN3,7.16E-05
RAD21,7.16E-05
FHL2,7.16E-05
TGIF1,7.15E-05
GNG5,7.14E-05
CDC25B,7.13E-05
CDK6,7.13E-05
PRKACA,7.13E-05
TET1,7.10E-05
CACNB1,7.10E-05
SNRPE,7.09E-05
HIST1H2BE,7.08E-05
PPP3CA,7.07E-05
TMEM189-UBE2V1,7.07E-05
CTNNA1,7.07E-05
RPS27L,7.06E-05
CENPE,7.04E-05
EEF2,7.03E-05
CTSA,7.03E-05
TCIRG1,7.01E-05
PPP1R3E,7.00E-05
KIF3C,7.00E-05
POLR3D,6.99E-05
CCL28,6.99E-05
EIF2S1,6.97E-05
MSR1,6.97E-05
ILK,6.96E-05
CYP51A1,6.96E-05
ASAP2,6.95E-05
ERF,6.95E-05
MRPS7,6.95E-05
HDAC11,6.94E-05
POLR3H,6.94E-05
ATP5I,6.94E-05
PRKCA,6.93E-05
COPS2,6.93E-05
GPX1,6.92E-05
MEF2A,6.92E-05
BIRC3,6.90E-05
CNOT2,6.90E-05
ANAPC16,6.90E-05
PLK2,6.89E-05
DYNC1I2,6.89E-05
DLST,6.88E-05
HNRNPA0,6.88E-05
CD28,6.86E-05
WFS1,6.85E-05
UQCRB,6.83E-05
RASA2,6.81E-05
CACNB3,6.81E-05
NUP35,6.81E-05
PYCARD,6.80E-05
MAP3K1,6.79E-05
EXTL2,6.79E-05
POLK,6.79E-05
CDS2,6.76E-05
CYBB,6.75E-05
ERBB2,6.75E-05
MIS18BP1,6.73E-05
POLR1B,6.73E-05
TMEM55B,6.73E-05
NDUFA1,6.72E-05
ATP5J,6.72E-05
PTGIS,6.72E-05
MRPL33,6.71E-05
NDUFB7,6.71E-05
ARHGAP9,6.70E-05
ATP1B1,6.70E-05
CEP192,6.70E-05
BCL2L1,6.70E-05
P2RX7,6.70E-05
DNAL4,6.69E-05
CENPN,6.69E-05
TRAPPC4,6.68E-05
U2AF1L4,6.68E-05
RASSF1,6.68E-05
CSNK2A2,6.66E-05
INPPL1,6.66E-05
LIMS2,6.64E-05
AGRN,6.64E-05
DUSP10,6.64E-05
RCHY1,6.63E-05
TNFAIP3,6.63E-05
TLR7,6.63E-05
UBE2L6,6.63E-05
COL14A1,6.60E-05
