,col_name,feature_importance_vals
8880,SLIT2,0.00017374899555664232
2029,COL1A1,0.00017335426813491932
1545,CCNB2,0.0001732606856500332
8892,SMAD4,0.0001730409976481986
1716,CDKN1B,0.0001726273120545749
9563,TCEB3,0.00017245776464344195
385,ANAPC5,0.00017209835348239722
1962,CLTB,0.00017134888186787724
8157,RPS15,0.00017035355599338467
2041,COL5A2,0.0001699442336635352
7888,RFC3,0.0001691640002976468
9071,SP1,0.00016913635179557438
7025,PLCG1,0.00016896430148737916
9068,SOX4,0.00016781483597277165
7273,PPP1R3D,0.00016774845087621333
8601,SHARPIN,0.0001675885390081532
658,ARPC3,0.00016745331210691241
8722,SLC25A16,0.0001672464891811387
5820,MRPL55,0.00016598020325685726
656,ARPC1B,0.00016595555331878705
8155,RPS13,0.00016595053087152897
6099,NCOA6,0.0001655511986716472
6639,PARP1,0.00016460831535399534
4960,LAMC2,0.00016327493970213534
8116,RPL3,0.00016320010066780155
8604,SHC2,0.00016223656754951103
4442,IKBKE,0.0001621195815294877
8068,RORA,0.00016207128308171658
4195,HIST4H4,0.0001616027671088952
10825,YWHAH,0.00016133026199921776
7889,RFC4,0.00016114880812752885
2254,CTSK,0.000160809430871139
1014,BRCA1,0.00016048940781886883
7166,POLR2A,0.0001601925606436247
9739,TLE3,0.0001595611323925648
9450,TAF11,0.0001593075401160604
3608,GADD45GIP1,0.00015921458077802807
7355,PRKACB,0.0001589512290904666
7732,RAP1A,0.00015880521133952312
659,ARPC4,0.00015875255821548798
3994,GUCY1B3,0.00015860277474459667
7176,POLR2K,0.00015799146244892023
9160,SQSTM1,0.00015766159042588976
142,ACTR1A,0.00015732467202094714
10285,TUBA1B,0.00015651345381668169
9462,TAF5,0.00015625275971477601
7180,POLR3C,0.00015577500665039807
7163,POLR1C,0.00015529751731264697
10757,WWTR1,0.000155248310949164
8609,SHFM1,0.00015516095974397524
3298,FAS,0.00015503897313717306
7151,POLE3,0.00015495056681384784
7293,PPP2R5E,0.00015481792098888457
3798,GNAI2,0.00015481772953412822
94,ACAT2,0.00015472331891277672
9067,SOX13,0.00015464087889269443
8662,SKP1,0.0001545686910398777
9372,SUMO2,0.00015435998769554806
8177,RPS4Y1,0.0001538670522117732
9377,SUPT16H,0.0001535895354436434
321,ALDH5A1,0.00015351405618166435
10574,VAV1,0.000153503288928319
1649,CDC16,0.00015342378653538337
4958,LAMB3,0.00015300338813036574
8175,RPS3A,0.00015276233911724654
8427,SEC24D,0.00015275963543343298
6705,PCNA,0.00015267383473306276
5423,MAPK9,0.00015219858900847018
9656,TGS1,0.0001521447969073856
4016,H2AFX,0.0001520177010140067
7535,PTPN11,0.00015172545327813553
8419,SEC22B,0.00015142425010813336
10617,VPS28,0.00015128823982481029
7099,PML,0.00015127466944771475
2047,COL7A1,0.00015095078621746218
1423,CAT,0.00015080420871527167
8131,RPL5,0.00015075137978809696
7168,POLR2C,0.00015058451795784303
8117,RPL30,0.0001503580366496329
8134,RPL7A,0.00014987228077311207
3826,GOLGA2,0.0001497764888794196
1426,CAV1,0.00014934378368707256
2649,DOCK2,0.00014918764106605173
2810,EDNRA,0.000148699853027277
7825,RBM8A,0.00014840809649766784
10056,TPR,0.00014761184789029776
1336,CACNA1C,0.0001474554417654872
10780,XRCC3,0.0001472059105428623
10390,UBE2V1,0.00014703869546093092
8103,RPL23,0.00014691803237470733
7281,PPP2CB,0.00014691700089752675
7482,PSME2,0.00014598588430509644
9971,TNFRSF1A,0.00014573762613696756
2133,CPT2,0.0001457209331454998
305,AKT2,0.00014565317480901284
2258,CTTN,0.00014540753152407257
4660,JAK3,0.000145205803349969
10625,VPS37C,0.00014511331484444467
6107,NDEL1,0.00014497359915292935
10363,UBE2D1,0.00014453557379108764
3908,GPS2,0.00014415180535443448
6972,PIP5K1C,0.00014408145813849142
10653,WAS,0.0001438835831139001
6225,NFYA,0.0001437394142904088
87,ACADS,0.00014354177791718625
86,ACADM,0.00014353790998598016
3926,GRB2,0.00014338283359008458
4173,HIST1H2BO,0.0001432198580005206
657,ARPC2,0.00014317469253517
8139,RPLP1,0.00014315831754874335
3767,GLS,0.00014296099643987557
475,AP2B1,0.00014271130608519274
9648,TGFBR1,0.00014255498162360535
6609,PANK1,0.00014225950036778667
9115,SPHK2,0.0001422286476589818
70,ABL1,0.0001417772313743626
378,ANAPC1,0.00014158106968125138
6078,NCBP1,0.00014150830528683727
7172,POLR2G,0.00014136575021727647
9539,TBL1XR1,0.00014098893432744193
5414,MAPK14,0.00014052543176253844
10575,VAV2,0.0001405192914160781
8138,RPLP0,0.00014044295618299648
8189,RPS8,0.0001400132758835053
882,BAK1,0.00013992647292933037
8093,RPL13A,0.00013985385297089054
1249,C3,0.0001395915296108377
4170,HIST1H2BL,0.00013914175546792998
8088,RPL10,0.00013910049723773018
8535,SFN,0.00013903981237899205
4952,LAMA2,0.0001389011293589157
4680,JUN,0.00013855068101126843
89,ACADVL,0.00013850736665253622
8129,RPL39L,0.00013843311727179333
4519,INPP5D,0.00013838937357097447
8119,RPL32,0.00013826671259424143
10745,WRN,0.00013821304582961602
1023,BRE,0.00013820901555294977
7479,PSMD8,0.00013818013265231107
8113,RPL27A,0.00013789805123166205
9542,TBP,0.00013786005095539622
8646,SIRT1,0.00013775756945067795
5784,MRPL19,0.00013767628512456351
5396,MAP3K7,0.00013760458054714938
5789,MRPL23,0.00013755897288529712
8098,RPL18A,0.0001371949289661573
7476,PSMD5,0.00013680071778463362
1995,CNOT3,0.00013659224265964826
10622,VPS36,0.00013646645278041748
8890,SMAD2,0.00013642421707275458
2923,ELMO1,0.00013583658089670025
663,ARRB1,0.0001355907606449154
9307,STK4,0.00013551960438724984
6157,NDUFS7,0.0001354184822555628
6750,PDGFB,0.00013538208980365269
1417,CASP8,0.00013527587764245325
3810,GNG11,0.00013498089423539847
793,ATP6V0C,0.0001347676246111335
2930,ELOVL1,0.00013460051741101499
8862,SLC9A1,0.00013459765483678264
2042,COL5A3,0.00013443532953986574
9271,STAT1,0.00013426316387407357
2959,ENO1,0.00013409314966986803
7149,POLE,0.00013394365081204832
1992,CNOT1,0.000133418233242712
4355,ICAM1,0.0001332898705647687
4392,IFIH1,0.0001330639194559233
5411,MAPK11,0.0001329469827728994
10527,USP4,0.00013271874909249662
1030,BRMS1,0.00013214799397703612
8178,RPS5,0.00013202867998048673
802,ATP6V1F,0.00013190764396033325
1392,CAPZA2,0.00013190520794900215
6488,OCRL,0.0001319032758181639
4062,HDAC3,0.0001314952935980675
2030,COL1A2,0.0001314339624898891
