,col_name,feature_importance_vals
8863,SP1,3.1780435046558664e-05
7982,RPS4Y1,3.1740321035683264e-05
7882,RPA3,3.1666362092699694e-05
6778,PIK3CD,3.166007226411694e-05
373,ANAPC5,3.1565734038980946e-05
4126,HLA-DQA1,3.151291319378575e-05
5939,NCOR1,3.149632016787179e-05
7874,RORA,3.139820022484995e-05
4088,HIST1H2BL,3.131808232254776e-05
4856,LAMA3,3.129984592515729e-05
8751,SNF8,3.1289051341075995e-05
2688,DVL3,3.127233273108214e-05
7695,RFC3,3.123464511750521e-05
4074,HIST1H2AJ,3.107120538645019e-05
6991,POLR2G,3.106067017247719e-05
6258,NUDT16L1,3.102519952842788e-05
10392,VTA1,3.097365230928517e-05
3716,GNA11,3.0947035487772525e-05
9495,TJP1,3.091883672808284e-05
1540,CCT5,3.082708111578497e-05
5242,MAP2K4,3.076543544038985e-05
5985,NDUFB8,3.07143718913494e-05
7296,PSME4,3.0609541158974285e-05
7665,RDX,3.05997889397575e-05
1379,CASP7,3.059596375447445e-05
7934,RPL39,3.054560721103336e-05
3938,H2AFX,3.045686710817764e-05
5997,NDUFV1,3.039893893187057e-05
9337,TCF7,3.037846108650928e-05
7981,RPS4X,3.0364937773496284e-05
7297,PSMF1,3.0319987391399433e-05
9032,STAM,3.030858528861612e-05
3736,GNG2,3.0281286055902422e-05
7945,RPLP1,3.0257081584422325e-05
7676,RELB,3.023363067785996e-05
7642,RBX1,3.0201258558603372e-05
4249,HSPG2,3.0153654431440094e-05
487,APH1B,3.009676006513473e-05
1615,CDC26,3.0015794074573094e-05
8009,RRAS,3.0004739550630706e-05
4336,IGF1R,2.9990879873026827e-05
6923,PML,2.9985478585541177e-05
2582,DNM2,2.997022300224199e-05
5253,MAP3K3,2.9879217312502357e-05
9045,STAT1,2.9877686501523524e-05
5315,MAX,2.9836292513641693e-05
4571,JAM2,2.9835303269338124e-05
10366,VPS26B,2.9764549253353555e-05
9219,TAF11,2.9748255541160407e-05
6286,NUP43,2.9742214227850968e-05
9143,SUMO3,2.9648658846658496e-05
6962,POLD1,2.964148249457839e-05
7993,RPS7,2.95391088551119e-05
4078,HIST1H2BB,2.952197463037884e-05
6797,PIP5K1A,2.948369077973194e-05
4200,HPSE,2.9461868442058295e-05
4862,LAMC1,2.9459863081517422e-05
2112,CREM,2.941011256453271e-05
459,AP2A2,2.9384873416496214e-05
4104,HIST1H4D,2.930648876363543e-05
1356,CAPZB,2.921366720130411e-05
4531,ITGAM,2.9199159525980726e-05
4339,IGF2R,2.9151053229571086e-05
7261,PSMA4,2.9145998687651033e-05
104,ACOT8,2.911196797233865e-05
9237,TAF9B,2.9088319647686287e-05
1537,CCT2,2.9064602124855118e-05
6583,PDGFRA,2.9036000129915116e-05
7976,RPS27L,2.901248835397697e-05
7960,RPS13,2.9011473527545534e-05
1503,CCL5,2.901010318615987e-05
7849,RNF41,2.8925325119958464e-05
532,ARFGAP1,2.890706855815213e-05
126,ACTB,2.883080369024618e-05
72,ACACA,2.8756788051090062e-05
7260,PSMA3,2.8649160994066192e-05
2687,DVL2,2.8619278703864927e-05
4599,KAT2A,2.8615257970334194e-05
4474,IQGAP1,2.8608272674047923e-05
3423,FOLR2,2.860134076676043e-05
6971,POLE4,2.8516902747482547e-05
9513,TLR4,2.8516674668361145e-05
7961,RPS14,2.8506030037024088e-05
6980,POLR1A,2.8494446307219662e-05
4070,HIST1H2AC,2.8479174349517787e-05
9423,TGS1,2.8407490490805616e-05
9231,TAF5,2.8362706742567613e-05
8400,SHC3,2.8343033841884755e-05
3862,GRK6,2.8332295424604582e-05
7111,PPP2R5D,2.829018383585855e-05
4081,HIST1H2BE,2.8270366812185226e-05
1678,CDKN1B,2.819207502245018e-05
73,ACACB,2.811252155415863e-05
9142,SUMO2,2.797462457850158e-05
4369,IL15RA,2.7973044713563562e-05
7962,RPS15,2.7922489302630773e-05
127,ACTG1,2.791177273407514e-05
7900,RPL14,2.7889136426969467e-05
2790,EHD3,2.7854997933812315e-05
8497,SLC1A5,2.777053787715781e-05
7476,RAB5A,2.7710047945920547e-05
1505,CCNA2,2.7669282977827747e-05
6992,POLR2H,2.761390997140832e-05
7795,RNF111,2.7574381002400864e-05
9330,TCEB3,2.7562105209382864e-05
7905,RPL19,2.7493527860564462e-05
5284,MAPK9,2.746176059597124e-05
4572,JAM3,2.7435743040440727e-05
6983,POLR1D,2.7431880525122883e-05
291,AKT1,2.738923218686022e-05
6857,PLD1,2.730036614322191e-05
1783,CHEK1,2.728411937985479e-05
7271,PSMB6,2.723705757421595e-05
5741,MTHFR,2.722645385646252e-05
4762,KIF3C,2.7172864029568497e-05
7939,RPL7,2.7107941460750105e-05
6041,NFATC4,2.7084892980073943e-05
4110,HIST2H2BE,2.704232341153365e-05
7906,RPL21,2.7003677181133192e-05
3506,FZD1,2.695133533727574e-05
7880,RPA1,2.6864864174915335e-05
8384,SH3GLB1,2.6836163158529458e-05
5270,MAPK1,2.6768611437196693e-05
7972,RPS25,2.674855051644989e-05
6988,POLR2D,2.6613820355473413e-05
7959,RPS12,2.6584275507537735e-05
5979,NDUFB2,2.658354637350595e-05
6008,NEDD4L,2.6564456712536027e-05
6294,NUP98,2.6472409938531444e-05
370,ANAPC16,2.6444955199167453e-05
7916,RPL26,2.639306252157999e-05
6960,POLA2,2.6389245934847866e-05
7115,PPP3CC,2.6272916978834578e-05
2942,EPS15,2.6260178874628955e-05
7116,PPP3R1,2.6234915680972266e-05
9218,TAF10,2.6221733922682233e-05
7696,RFC4,2.6187191299588727e-05
7432,RAB10,2.613608060117328e-05
2305,DAPK3,2.612989203804808e-05
900,BCL2L1,2.6111109120672782e-05
938,BIN1,2.606563995191743e-05
6277,NUP153,2.6065247857987883e-05
1376,CASP3,2.604510464436771e-05
3585,GBF1,2.6043298970520196e-05
2583,DNM3,2.603519233730367e-05
7984,RPS6,2.5975793902742996e-05
3508,FZD4,2.5971760619299017e-05
2876,EMD,2.5942934933631534e-05
4764,KIF5B,2.5725538418687786e-05
7273,PSMC1,2.5719372748211046e-05
294,AKT3,2.569246888571596e-05
9732,TNFRSF1A,2.5687723143619225e-05
7910,RPL23A,2.5654543417766937e-05
6580,PDGFB,2.563090493765685e-05
8433,SIN3A,2.560993327914109e-05
1532,CCR5,2.5592568358398727e-05
8846,SOD2,2.5567216319653485e-05
6785,PIK3R5,2.555585609896455e-05
181,ADCY4,2.549605187158914e-05
1995,COL4A5,2.544638074353063e-05
4773,KLC2,2.5423846863602807e-05
3725,GNAQ,2.539873685980008e-05
9413,TGFB3,2.5385201773035876e-05
2938,EPN2,2.538331651404807e-05
4201,HRAS,2.5367338013473693e-05
3721,GNAI1,2.536657174121779e-05
8893,SPCS2,2.5363324747091225e-05
8623,SLC43A1,2.530619491861986e-05
4105,HIST1H4E,2.5298446666091386e-05
5281,MAPK8,2.5277222542876907e-05
4556,ITPR2,2.524351171317654e-05
7943,RPL9,2.523878109828869e-05
9227,TAF2,2.5194008898884372e-05
7937,RPL5,2.517819471301244e-05
4377,IL1R1,2.5134571979943163e-05
117,ACSL1,2.5106289131838083e-05
8203,SDHD,2.5104766489702203e-05
8970,SRP72,2.5103186735979497e-05
4590,JUN,2.507786875198985e-05
8682,SMAD2,2.5048979408928482e-05
3861,GRK5,2.500545061667918e-05
7737,RHOA,2.4969748886600923e-05
4085,HIST1H2BI,2.495336369878924e-05
3781,GPC3,2.4932428478380714e-05
8683,SMAD3,2.4919929823961587e-05
3936,H2AFJ,2.486491647341647e-05
1670,CDK7,2.4780464484855167e-05
1509,CCNC,2.4748537222107048e-05
4069,HIST1H2AB,2.4741097632731732e-05
8201,SDHB,2.4640844910915295e-05
3832,GPS2,2.457040421772002e-05
223,AGAP1,2.4554135411954435e-05
8746,SNAPC5,2.4535550551796347e-05
4123,HLA-B,2.4523984609517222e-05
4524,ITGA5,2.4518947520190382e-05
4760,KIF3A,2.451425885768598e-05
7289,PSMD6,2.4401705439476456e-05
11163,ZW10,2.4351692335008362e-05
5558,MMP9,2.431760490242578e-05
8237,SEH1L,2.429819849549648e-05
6858,PLD2,2.4279280285758405e-05
2285,CYTH1,2.4234873265227978e-05
371,ANAPC2,2.4230609731290543e-05
7909,RPL23,2.422423094838695e-05
4238,HSPA6,2.4221237482269232e-05
5981,NDUFB4,2.421932425634966e-05
7347,PTPN11,2.414394703884262e-05
737,ATP1A1,2.4136795776450107e-05
1988,COL27A1,2.4127461534151352e-05
6986,POLR2B,2.411620073679352e-05
5976,NDUFB1,2.4110897812061713e-05
4113,HIST4H4,2.4082574261541366e-05
7881,RPA2,2.4077807772580575e-05
1318,CALM2,2.402752389711028e-05
4080,HIST1H2BD,2.4020389778692894e-05
9979,TSPO,2.3967527643852496e-05
7037,PPARG,2.3888770918130303e-05
6783,PIK3R3,2.3795766876752657e-05
5999,NDUFV3,2.377722169626395e-05
10065,TWISTNB,2.3744178822800912e-05
7294,PSME2,2.3728303878774917e-05
3983,HDAC2,2.3723411869761654e-05
9217,TAF1,2.3718568830643194e-05
6287,NUP50,2.3713797749717988e-05
7177,PRKCA,2.364519480561984e-05
7114,PPP3CB,2.3637743775085396e-05
3410,FN1,2.3597093596094963e-05
6401,P4HB,2.350378233668511e-05
4090,HIST1H2BN,2.342885094846609e-05
7896,RPL11,2.3425188969165098e-05
293,AKT2,2.3373725826576656e-05
6999,POLR3C,2.335769098690522e-05
1326,CAMK2G,2.3348507825678902e-05
7290,PSMD7,2.3293201418430097e-05
6105,NLK,2.327953577539924e-05
1985,COL1A1,2.3269098210221274e-05
6849,PLCD1,2.3237499472564048e-05
5215,MAML3,2.322421743114179e-05
1800,CHMP2B,2.3214673233586434e-05
636,ARPC3,2.319508513956783e-05
7532,RAN,2.3178309651444423e-05
1546,CD14,2.3173423894834883e-05
4086,HIST1H2BJ,2.3132197207167756e-05
4103,HIST1H4C,2.312829400669723e-05
1984,COL18A1,2.3053695255288614e-05
7942,RPL8,2.2969005991713998e-05
8742,SNAPC1,2.292636359101289e-05
4759,KIF2C,2.2905480120074027e-05
884,BCAR1,2.2829977220558598e-05
2150,CSK,2.2829967787502553e-05
6332,OGG1,2.2767492448958995e-05
7929,RPL35A,2.275941111505266e-05
7894,RPL10,2.272157244641667e-05
6535,PCNA,2.270334327319618e-05
9339,TCF7L2,2.269239278343677e-05
763,ATP6AP1,2.264236910878463e-05
4234,HSPA2,2.2555206454555332e-05
4861,LAMB3,2.2517443874743474e-05
6987,POLR2C,2.2449372709970178e-05
3389,FLNA,2.2415435360191902e-05
8904,SPHK1,2.231166144748788e-05
2188,CTNNB1,2.2290429034490865e-05
7736,RHEB,2.2279825080536633e-05
4543,ITGB8,2.2240105998168227e-05
1621,CDC42,2.2229708581934257e-05
4527,ITGA8,2.221207284094362e-05
10372,VPS36,2.2207611806926216e-05
7902,RPL17,2.2165411787829962e-05
3050,EZH2,2.2142848047114794e-05
1594,CD80,2.2135850418709862e-05
9511,TLR2,2.2125956590758078e-05
9205,TAB2,2.21192341101073e-05
3294,FBXW7,2.2118731571897964e-05
6595,PDK2,2.2079648024286002e-05
10325,VAV1,2.205293180456403e-05
3522,GAB2,2.2023656627512267e-05
78,ACADS,2.1973866234667673e-05
1341,CAPN1,2.1967315116455666e-05
9937,TRRAP,2.1962170010487043e-05
7272,PSMB7,2.1943240689053638e-05
4095,HIST1H3D,2.1931352097663665e-05
3559,GAPDHS,2.1918911709607213e-05
5240,MAP2K2,2.1878946849536344e-05
7922,RPL3,2.1842466730521875e-05
3659,GIT1,2.1771375688873517e-05
8049,RUFY1,2.1754795330109787e-05
6453,PAPSS2,2.1747560754302134e-05
9034,STAMBP,2.172068246667961e-05
6222,NSUN2,2.1714039172921345e-05
4083,HIST1H2BG,2.171401905182681e-05
3987,HDAC6,2.163626587048384e-05
5781,MVK,2.1633818653740058e-05
4092,HIST1H3A,2.1611751166644284e-05
3038,EXOSC5,2.151029984389652e-05
525,ARAP3,2.1496301813004837e-05
6961,POLB,2.1489353925884504e-05
7978,RPS29,2.148077024781532e-05
5800,MYD88,2.1440341680053403e-05
10709,ZFYVE27,2.139844280973571e-05
6289,NUP62,2.139069620979556e-05
7977,RPS28,2.1390429375077136e-05
7870,ROCK2,2.134797965296706e-05
3300,FCGR1A,2.131131958221361e-05
1354,CAPZA1,2.1296850037581913e-05
1671,CDK8,2.123150762297034e-05
3726,GNAS,2.120496399872816e-05
6409,PABPN1,2.1200673841042643e-05
3521,GAB1,2.1171979638814684e-05
7933,RPL38,2.1146788020805964e-05
8601,SLC38A1,2.1142019405136107e-05
635,ARPC2,2.1124242888959088e-05
2106,CREBBP,2.1090426929941503e-05
1511,CCND2,2.108050949888051e-05
10375,VPS37C,2.1078474417648772e-05
7915,RPL24,2.1041224446404473e-05
2733,ECHS1,2.099907743065352e-05
9451,THRA,2.0964686268216e-05
6469,PARP1,2.093394404159181e-05
6606,PDPK1,2.091904528356281e-05
5053,LPIN2,2.0913038605385735e-05
772,ATP6V1A,2.089782688235923e-05
7743,RHOD,2.0856558987165822e-05
523,ARAP1,2.0845612186148035e-05
9464,TIAM1,2.0840831753413327e-05
4600,KAT2B,2.081924550470131e-05
9720,TNFAIP3,2.0808624328940195e-05
6442,PANK4,2.079454558240921e-05
8291,SERPINE1,2.0788019499275487e-05
6989,POLR2E,2.0740458969962325e-05
2954,ERBB3,2.0700037003921288e-05
224,AGAP2,2.0687975244547086e-05
9517,TLR8,2.0675276969711822e-05
6959,POLA1,2.0669466093656487e-05
3969,HBEGF,2.0654013879040945e-05
9795,TP53INP1,2.0643076213196112e-05
2287,CYTH3,2.0638679252339377e-05
638,ARPC5,2.0617216996153223e-05
3948,HADH,2.061699222290022e-05
